"com.feyza.flutter_burc_rehberi - 2019-12-18 - 2019-12-22 ve 2019-11-18 - 2019-11-22 için Toplam kullanıcı kaybı (Tüm etkinlikler, Aralık başına, Günlük), Android Sürümü ölçütüne göre"
,,Metrik,"Toplam kullanıcı kaybı (Tüm etkinlikler, Aralık başına, Günlük)","Toplam kullanıcı kaybı (Tüm etkinlikler, Aralık başına, Günlük)","Toplam kullanıcı kaybı (Tüm etkinlikler, Aralık başına, Günlük)",Notlar
,,Boyut,Tüm Android sürümleri,Android 9,Android 5.0
Dönem,Tarih
2019-12-18 - 2019-12-22,2019-12-18,,-,-,-,"Sürümün kullanıma sunumu - 1.0.0 sürümü, 100% oranla kullanıma sunulmaya başlandı"
2019-12-18 - 2019-12-22,2019-12-19,,-,-,-
2019-12-18 - 2019-12-22,2019-12-20,,-,-,-
2019-12-18 - 2019-12-22,2019-12-21,,6,5,1
2019-12-18 - 2019-12-22,2019-12-22,,-,-,-
2019-11-18 - 2019-11-22,2019-11-18,,-,-,-
2019-11-18 - 2019-11-22,2019-11-19,,-,-,-
2019-11-18 - 2019-11-22,2019-11-20,,-,-,-
2019-11-18 - 2019-11-22,2019-11-21,,-,-,-
2019-11-18 - 2019-11-22,2019-11-22,,-,-,-
